シャルル,10.78228488338572,0,0,0,0,2.659090909090909,8.16076127347143,7.946003261042815,7.088522176825357,6.1833595616279675,5.42161681474164,4.100393335169034
Country Road,10.59657034193545,0,2.253876306620209,7.34343179258562,7.900571671897007,7.665298132962452,4.90928961117212,3.058123322790701,2.5448678348678353,0,0,0
﻿君の知らない物語,10.442802732862724,7.969268644841233,7.296587903289465,7.015277452717703,6.42248466148804,6.225985185302493,4.485173461555359,4.443183370824668,4.172756671151574,4.763825353261025,4.418090413946794,4.704937081502921
夜に駆ける (YOASOBI),10.34952540416534,0,0,0,0,0,0,0,1.425531914893617,7.166883185079859,7.81728894462428,6.470493731705268
Lemon,10.307183174423352,0,0,0,0,0,0,7.262144051038961,7.732828133843634,5.943519561083142,4.6066450361451,3.4868280055167724
千本桜,10.032649295357926,7.8833978450138895,6.591987917642583,6.250312612904196,4.361236175018789,3.4248360768414363,2.6480891491301515,1.1818181818181819,1.3763019589106547,1.937349996857665,2.0864102794755297,1.9287393894909546
アイネクライネ,9.965515526292238,0,0,5.583825924163213,7.059702617111773,7.450010799462649,6.84036603893648,5.27785009534111,3.9786416440481887,3.3517294509746556,2.582174454144995,2.1400426069734126
チェリー,9.959347022250135,6.768180303878239,7.723757703810012,5.650513350778748,5.329464673537427,5.550056849120537,4.191417552786977,3.618744725474715,3.529014796255123,4.15698244885881,4.518266317399156,4.9477346900823465
ドライフラワー (優里),9.949316891065523,0,0,0,0,0,0,0,0,1.6666666666666665,8.015424302081819,7.474841736404618
丸の内サディスティック,9.892870079942913,6.510551895805533,6.376253084730657,6.197929257111497,6.257227642874498,6.645373758728008,6.364004788276604,6.53572594631766,6.772918492912261,6.912384072912314,7.0185748200701505,7.172684258431873
一般男性脱糞シリーズ,9.75627972900022,0,0,0,0,0,1.938460333516924,3.9552525580997946,7.839990839579373,5.772729757785393,0,0
Pretender,9.631218371606971,0,0,0,0,0,0,0,4.859035844155844,7.370032607290559,5.387203141136601,4.945178518815117
命に嫌われている,9.604837583543357,0,0,0,0,0,0,6.626576860554178,7.700644906449783,3.9715798847535817,1.534260021024727,1.8368298368298368
からくりピエロ,9.434000210958457,7.260052883910191,6.406565546911523,5.46214378895278,5.536362380314766,5.4210439836048945,5.320434593976679,4.652229619575555,4.800686644206074,5.41487182989711,5.454996047207171,5.885397519589591
カントリーロード(簡易アレンジver),9.427472108958105,0,3.409989648033126,7.256278932244475,6.173796307780537,5.14584091313163,4.387973211034888,1.5217500571947593,1.5776120726344163,2.623225582502174,1.1851851851851851,0
もしかしてだけど,9.391906419939529,0,2.9,8.010798495890796,4.468648377934947,1.1904761904761905,0,0,0,0,0,0
紅蓮の弓矢,9.091717232606156,0,7.063885684415585,5.861603904787261,2.226952659895952,0,0,0,0,0,0,0
Country road,8.917700383579835,6.5233274220601425,6.870765755921325,0,0,0,0,0,0,0,0,0
月が綺麗 (岩見拓馬),8.835340271992715,0,0,0,0,0,0,1.4183021716409243,3.6580837617300155,5.949339727620624,6.91196214406119,5.055175011846212
マリーゴールド,8.652002724222097,0,0,0,0,0,0,0,6.34607590148806,6.386553109840317,4.800328900068204,4.501164891919943
シュガーソングとビターステップ,8.604005212847085,0,0,0,6.004138336984755,5.67425570903202,4.356498016539648,2.795824122301293,2.5688291815397686,2.1346883396632843,2.41746838128454,2.534131191014359
恋 (星野源),8.563691318993586,0,0,0,0,3.6363636363636362,6.390839573064135,2.573132132792445,3.0728703843073215,3.7904478490538667,3.2514464866275943,1.7177422723475355
カブトムシ,8.533729066358255,3.682661247165025,5.56016177071231,4.435472696647672,2.355334444602649,2.0565444035491125,2.335781461957593,2.48821673843422,2.9906441589361643,5.725884536690341,5.37396978332424,6.034158136821566
ひといきつきながら ,8.456178723775205,0,0,3.409696882960758,6.908497674699129,4.729537930090592,1.198019801980198,0,0,0,0,0
楓,8.447588810736164,4.898273908391203,6.540025839600187,5.9010987287497665,3.6110199171303163,2.9219398053975025,2.1782645227251605,2.7091965859926583,1.4321322484825003,1.585736029163065,2.260198097040484,2.6048271087165045
だから僕は音楽を辞めた,8.396142695002236,0,0,0,0,0,0,0,6.175033375274725,5.546974042560241,4.332957316634086,3.6764503708040026
天ノ弱,8.395285541666581,6.806377429727862,5.272262294424946,4.4961483459817,3.3179177505474278,2.584786252228583,1.74972548507573,1.9528038209243062,1.6361616161616162,2.75846538914747,2.491438416630433,1.505277494041539
紅蓮華,8.282670961537313,0,0,0,0,0,0,0,0,7.305528376112543,4.272971449666027,1.657225967310001
前前前世,8.126067954282243,0,0,0,0,6.0442066565499015,5.435834369228802,1.513664596273292,0,0,0,0
ハロ／ハワユ,8.111236798909799,5.946381278006839,5.28022465880856,5.455284099647481,5.533165973202418,5.876242751019306,5.287599288272084,4.834512862448065,4.975490839579052,4.719948228249679,3.96868231790227,3.7717575171200766
なんでもないや,8.10402531857708,0,0,0,0,4.227419536984755,5.756667663112518,3.7901870513241387,2.801396439937057,2.4094748072665837,1.9232335311714195,1.196078431372549
ようこそジャパリパークへ,8.02319024943517,0,0,0,0,0,6.681157350560114,3.3396121378002457,4.010764527592153,3.0005608351880277,2.812970923534606,2.62381165403829
秒針を噛む,7.999911029866199,0,0,0,0,0,0,5.052766240855596,5.2043535829399366,4.5525985014453445,3.833657414540566,2.003899711977392
うまぴょい伝説,7.98951424182769,0,0,0,0,0,0,0,0,0,6.846161739675324,4.065884941497979
言って。,7.97710517542772,0,0,0,0,0,3.108,6.497708614398835,4.693172218616072,3.5830055584200853,2.899744127278315,1.9357397316821465
