key,total,weighted,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
V,11.967236236186823,12.135268879467803,16.49145945418088,15.292967235000491,15.739666697639626,15.594518367242138,13.990771568105833,13.45521945201644,11.81654862584629,11.904621818322779,9.395688310876949,8.031446556058834,8.33004298725557
I,11.080089983991876,10.96226502513246,15.086367544265705,13.986946651556341,13.657797262970142,13.729185364014944,11.910516105567819,10.767402582598303,9.89314263539756,9.295300883061854,8.798767575125973,7.774781202825995,7.419126305319358
IV,10.25803403313047,10.033085693268118,13.343059447939385,12.661002308410648,12.777643212276303,11.546846798139248,10.629198870849363,10.451892484662052,8.664543479344124,8.90183608545885,7.8419317363398955,6.356535828381518,7.068850416004745
VIm,8.450385393821005,8.60611673067241,12.201430316490368,11.4616598428134,11.66007607652628,11.136043385825609,9.81870542328687,8.109142081861114,6.572962126048706,6.79055456331276,6.108092153801474,6.244190043896392,6.678044789477736
VIm7,4.484390316142818,6.914714344136823,4.297320291121573,4.931282290019432,5.496096314391261,5.86793237961069,6.502324253876445,9.054323256689024,9.760841441400771,9.37076942563117,8.546333834316794,8.533803922152385,7.893767109096449
IIm7,3.8992122874692354,3.9522339340565558,3.445974218437997,4.324286785224046,4.090500533717349,3.626143537903759,3.8485209298536396,3.8769005984397196,4.024951384000674,3.6519021841671986,4.217193250834271,5.139060861105264,4.770719790651749
IVM7,3.6107839749511648,4.198736492291505,3.13785370219,2.9023870495946364,3.3093654335659815,3.964033815464798,4.378998603310699,4.106606766896722,4.64386031436432,5.192057030877533,5.3918727350257925,5.834215574236306,4.788978612897601
IIIm7,3.3361776549156223,3.189986349542744,2.311508478092093,2.701428267111833,2.628013115265323,2.6145243660987574,2.3897306143084576,2.3222777679859092,2.9044208737022275,2.880208062257178,2.935107307436647,4.00509933659448,3.9853197762588954
IIIm,2.6310444771972383,2.618227458847098,2.3316735941376225,2.2275515619589616,2.396073893096738,2.045214046733454,2.622068438294436,3.411408363496809,2.2425619014879516,2.4426550902084387,2.3278228944358825,1.7361983451961667,2.281295022487016
IIm,2.3531942201504905,1.9071377279386448,2.1516573577554228,2.131620015025834,2.43632979802914,2.133905325665138,1.9260924186478827,1.342232371340571,1.3759740306154133,1.2597833719630869,1.3583094768440085,0.826451388854245,1.4167240433431045
III7,2.0113114673173347,2.6510120952028497,2.168151426514992,2.2846793514473562,2.3440819446113665,2.6583756752590655,2.875857429951218,2.761078394427771,3.3139236134266183,3.166110466660278,3.5121040104729,3.992455329569904,3.023304216769898
