[Badd9],3088
[Aadd9],9117
[Gadd9],4547
[Bm7],41999
[Dadd9/F#],1754
[G],155165
[A],112968
[Asus4],8556
[D],128950
[D/F#],16406
[D/B],469
[DM7],13072
[Em],66412
[N.C.],28189
[A/C#],9227
[Fm],22247
[Fm/Eb],242
[Fm/Db],23
[Fm/C],298
[Eb],46892
[Db],23738
[C7],14189
[F],93981
[F#m],35962
[E],86787
[C#7],6928
[F#],32436
[EbM7],8630
[D7],18179
[Db13],1
[Db9],246
[C9],798
[B9],408
[Bb9],436
[Eb6],963
[Cm7],23268
[Fm7],20566
[Bb7],6916
[Am7],44033
[GM7],14111
[Gb7],527
[F9],574
[E7],18479
[E9],784
[Eb9],560
[D9],839
[G6],3587
[Em7],36958
[D13],24
[Gm7],26798
[Cm6],408
[Bbm7],14112
[Eb7],4470
[AbM7],10089
[Bm],45550
[Esus4],4835
[( A )],1
[A/E],2380
[Am],62228
[C],136117
[E7/B],408
[Dm],38745
[Bｍ7-5],5
[B7],16830
[A7],16654
[Dm7],32751
[G7],16293
[Am6],572
[Am7-5],1265
[(F)],938
[(G)],1435
[Bb],64894
[C/G],3581
[Verse-A],16
[Gm],27624
[(A)],1127
[(Bb)],518
[(E)],1155
[(D)],1114
[Verse-A#2],21
[Interlude],123
[Gmadd9],130
[Fsus4],2420
[Csus4],4497
[Guitar solo],6
[Interlude#2],4
[G/D],3008
[/GD],1
[Amadd9],251
[G/B],14669
[Gsus4],5096
[Dsus4],6079
[Verse-A#3],8
[(C#)],328
[(B)],891
[(G#)],223
[(F#)],553
[E/B],2099
[C#m],27558
[Cadd9],10460
[B],60629
[Intro],236
[BM7],5310
[Gm7(#5)],4
[Abm9],320
[Ebsus4/F],43
[Eb7sus4],376
[Verse 1],8
[F#add9],866
[D#7sus4],184
[D#7(#11)],1
[G#m9],349
[A#sus4],194
[A#],3464
[Verse 2],7
[Outro],121
[F#m7(11)],1001
[Dadd9],7236
[>],16588
[C#],21710
[F#m7],29297
[Fdim7],492
[Am/C],854
[C6],1562
[CM7],17237
[D#dim7],606
[Fadd9],3316
[Cm],25645
[BbM7],11313
[C/Bb],832
[Aｍ],59
[C#sus4],1998
[F#M7],2105
[F#7],8793
[G#m],16420
[G#m7],16351
[D#7],2381
[G/A],2883
[(D7)],38
[Cdim],1679
[G#],11515
[C#m7],25675
[C#m7/B],475
[Bm7/D],251
[Bm7/E],2847
[G7/B],1188
[C#m7-5],2127
