君の知らない物語,201201:1,201202:1,201203:1,201204:2,201205:3,201206:1,201207:1,201208:3,201209:2,201210:1,201211:5,201212:3,201301:2,201302:3,201303:4,201304:3,201305:3,201306:4,201307:5,201308:5,201309:5,201310:4,201311:7,201312:8,201401:5,201402:5,201403:4,201404:4,201405:4,201406:4,201407:4,201408:6,201409:6,201410:8,201411:6,201412:9,201501:7,201502:11,201503:10,201504:6,201505:7,201506:6,201507:8,201508:6,201509:9,201510:8,201511:11,201512:9,201601:5,201602:7,201603:6,201604:4,201605:7,201606:6,201607:9,201608:11,201609:16,201610:22,201611:24,201612:33,201701:21,201702:20,201703:20,201704:20,201705:21,201706:20,201707:17,201708:25,201709:35,201710:25,201711:36,201712:45,201801:47,201802:37,201803:48,201804:42,201805:29,201806:24,201807:22,201808:19,201809:17,201810:24,201811:15,201812:17,201901:21,201902:27,201903:27,201904:16,201905:34,201906:48,201907:24,201908:32,201909:32,201910:61,201911:24,201912:32,202001:21,202002:20,202003:32,202004:31,202005:25,202006:22,202007:11,202008:12,202009:17,202010:24,202011:30,202012:26,202101:30,202102:19,202103:38,202104:23,202105:31,202106:42,202107:23,202108:19,202109:16,202110:16,202111:29,202112:51,202201:21,202202:18,202203:17,202204:31,202205:12,202206:11,202207:11,202208:19,202209:29,202210:89,202211:35
千本桜,201201:2,201202:2,201203:2,201204:1,201205:2,201206:2,201207:2,201208:2,201209:1,201210:2,201211:3,201212:4,201301:4,201302:5,201303:6,201304:4,201305:6,201306:10,201307:15,201308:12,201309:8,201310:10,201311:15,201312:5,201401:4,201402:6,201403:5,201404:9,201405:7,201406:9,201407:8,201408:10,201409:18,201410:18,201411:24,201412:14,201501:14,201502:28,201503:33,201504:16,201505:20,201506:23,201507:28,201508:32,201509:33,201510:35,201511:32,201512:39,201601:15,201602:32,201603:48,201604:42,201605:48,201606:47,201607:60,201608:47,201609:63,201610:67,201611:65,201612:79,201701:67,201702:95,201703:65,201704:59,201705:65,201706:75,201707:99,201708:88,201709:81,201710:44,201711:89,201712:100,201802:91,201909:72,201910:96,202002:78,202003:94,202004:90,202007:99,202008:73,202010:70,202101:73,202103:79,202104:61,202105:77,202108:91,202111:88,202112:95,202201:87,202202:95,202203:62,202204:53,202205:73
からくりピエロ,201201:3,201202:3,201203:3,201204:4,201205:6,201206:3,201207:4,201208:4,201209:5,201210:5,201211:6,201212:7,201301:5,201302:4,201303:5,201304:8,201305:8,201306:6,201307:14,201308:14,201309:12,201310:8,201311:12,201312:16,201401:12,201402:14,201403:9,201404:11,201405:13,201406:16,201407:13,201408:13,201409:20,201410:20,201411:18,201412:16,201501:15,201502:14,201503:15,201504:12,201505:6,201506:9,201507:16,201508:16,201509:19,201510:19,201511:15,201512:17,201601:11,201602:13,201603:17,201604:18,201605:11,201606:17,201607:14,201608:13,201609:11,201610:17,201611:15,201612:18,201701:13,201702:15,201703:15,201704:12,201705:12,201706:9,201707:22,201708:19,201709:20,201710:14,201711:19,201712:25,201801:34,201802:30,201803:32,201804:33,201805:25,201806:21,201807:15,201808:16,201809:23,201810:15,201811:17,201812:22,201901:34,201902:32,201903:21,201904:33,201905:18,201906:16,201907:21,201908:22,201909:18,201910:15,201911:21,201912:12,202001:12,202002:10,202003:12,202004:14,202005:22,202006:19,202007:17,202008:15,202009:12,202010:16,202011:13,202012:16,202101:15,202102:11,202103:14,202104:11,202105:16,202106:13,202107:19,202108:14,202109:20,202110:12,202111:13,202112:13,202201:8,202202:10,202203:9,202204:8,202205:11,202206:10,202207:14,202208:8,202209:7,202210:12,202211:11
冷やし中華+はじめました,201201:4,201202:5,201203:10,201204:15,201205:29,201206:39,201207:47,201208:71,201209:88,201210:42,201211:32,201212:60,201301:93,201302:96,201303:90,201411:94,201412:99,201504:91,201602:69,201603:32,201604:60,201605:53,201606:34,201607:34,201608:60,201701:99,201706:17,201707:51
Just+Be+Friends,201201:5,201202:9,201203:15,201204:19,201205:21,201206:21,201207:14,201208:19,201209:13,201210:13,201211:20,201212:26,201301:24,201302:26,201303:36,201304:33,201305:35,201306:38,201307:49,201308:41,201309:65,201310:60,201311:59,201312:48,201401:51,201402:49,201403:46,201404:48,201405:73,201406:66,201407:63,201408:64,201409:92,201410:57,201411:45,201412:66,201501:87,201502:78,201503:65,201504:63,201505:77,201506:71,201507:87,201508:39,201509:62,201510:50,201511:50,201512:72,201601:83,201602:81,201604:84,201610:78,201704:78,201706:61,201708:66,201711:86,201907:88,201911:91,202005:81,202010:46,202011:74
丸の内サディスティック,201201:6,201202:6,201203:8,201204:10,201205:9,201206:6,201207:10,201208:7,201209:8,201210:6,201211:7,201212:8,201301:7,201302:6,201303:7,201304:7,201305:9,201306:8,201307:12,201308:13,201309:7,201310:6,201311:8,201312:14,201401:14,201402:12,201403:10,201404:10,201405:9,201406:7,201407:6,201408:7,201409:8,201410:10,201411:10,201412:11,201501:10,201502:9,201503:9,201504:7,201505:9,201506:8,201507:10,201508:10,201509:7,201510:7,201511:9,201512:10,201601:6,201602:5,201603:5,201604:5,201605:5,201606:8,201607:7,201608:5,201609:10,201610:14,201611:9,201612:11,201701:8,201702:8,201703:11,201704:8,201705:6,201706:8,201707:6,201708:9,201709:7,201710:8,201711:12,201712:10,201801:7,201802:7,201803:8,201804:10,201805:6,201806:6,201807:7,201808:8,201809:7,201810:6,201811:9,201812:7,201901:6,201902:6,201903:7,201904:6,201905:6,201906:6,201907:5,201908:8,201909:10,201910:6,201911:4,201912:6,202001:5,202002:6,202003:7,202004:6,202005:8,202006:5,202007:6,202008:6,202009:3,202010:4,202011:6,202012:8,202101:7,202102:5,202103:5,202104:9,202105:7,202106:6,202107:4,202108:5,202109:5,202110:4,202111:3,202112:5,202201:4,202202:6,202203:3,202204:3,202205:4,202206:5,202207:4,202208:2,202209:3,202210:2,202211:4
カゲロウデイズ,201201:7,201202:14,201203:20,201204:22,201205:32,201206:26,201207:23,201208:13,201209:21,201210:23,201211:24,201212:27,201301:34,201302:43,201303:49,201304:50,201305:64,201306:41,201307:68,201308:59,201309:66,201310:71,201311:87,201401:82,201402:83,201403:71,201404:39,201405:35,201406:43,201407:64,201408:67,201505:94,201602:62,202108:87
天ノ弱,201201:8,201202:4,201203:4,201204:3,201205:4,201206:8,201207:7,201208:9,201209:6,201210:7,201211:8,201212:16,201301:13,201302:10,201303:10,201304:10,201305:17,201306:22,201307:25,201308:24,201309:17,201310:15,201311:21,201312:23,201401:17,201402:21,201403:18,201404:18,201405:20,201406:22,201407:27,201408:30,201409:23,201410:31,201411:37,201412:38,201501:33,201502:33,201503:37,201504:36,201505:40,201506:32,201507:57,201508:76,201509:61,201510:81,201511:73,201512:79,201601:62,201602:79,201603:69,201604:59,201605:89,201606:87,201607:67,201608:58,201609:79,201611:91,201612:60,201701:57,201702:90,201704:79,201710:77,201801:78,201802:78,201807:68,201808:98,201810:93,201811:77,201902:91,201903:56,201905:62,202001:59,202002:38,202003:20,202004:66,202005:72,202006:69,202007:85,202009:85,202012:92,202101:64,202103:96,202104:86,202105:88,202106:60,202107:64,202108:85,202109:72,202110:61,202111:59,202205:70,202210:47
ハロ／ハワユ,201201:9,201202:7,201203:13,201204:9,201205:12,201206:14,201207:13,201208:11,201209:9,201210:8,201211:13,201212:15,201301:10,201302:13,201303:16,201304:19,201305:14,201306:14,201307:24,201308:22,201309:20,201310:13,201311:13,201312:17,201401:13,201402:13,201403:13,201404:15,201405:14,201406:14,201407:14,201408:9,201409:11,201410:19,201411:22,201412:18,201501:12,201502:15,201503:18,201504:13,201505:12,201506:15,201507:11,201508:11,201509:12,201510:15,201511:12,201512:15,201601:12,201602:8,201603:8,201604:12,201605:10,201606:11,201607:12,201608:6,201609:12,201610:16,201611:18,201612:23,201701:19,201702:16,201703:16,201704:14,201705:16,201706:13,201707:19,201708:17,201709:14,201710:12,201711:13,201712:15,201801:18,201802:26,201803:22,201804:19,201805:24,201806:26,201807:25,201808:13,201809:15,201810:23,201811:18,201812:16,201901:24,201902:19,201903:18,201904:18,201905:14,201906:14,201907:13,201908:19,201909:27,201910:23,201911:17,201912:20,202001:28,202002:17,202003:17,202004:16,202005:21,202006:25,202007:16,202008:25,202009:21,202010:21,202011:22,202012:27,202101:34,202102:23,202103:30,202104:28,202105:28,202106:33,202107:29,202108:29,202109:34,202110:46,202111:25,202112:49,202201:64,202202:39,202203:41,202204:23,202205:18,202206:22,202207:38,202208:74,202209:26,202210:30,202211:71
ふわふわ時間,201201:10,201202:16,201203:24,201204:25,201205:15,201206:22,201207:18,201208:15,201209:17,201210:20,201211:19,201212:24,201301:17,201302:22,201303:26,201304:38,201305:34,201306:37,201307:51,201308:43,201309:59,201310:62,201311:58,201312:53,201401:48,201402:61,201403:53,201404:52,201405:67,201406:57,201407:67,201408:51,201409:46,201410:44,201411:48,201412:63,201501:86,201502:63,201503:74,201504:71,201505:80,201507:94,201508:74,201509:44,201510:70,201511:74,201512:90,201601:76,201602:98,201608:93,201609:90,201612:93,201701:70,201703:96,201912:77,202004:85,202006:93,202007:87,202010:62,202011:58,202101:72,202103:97,202106:53,202110:74,202112:63,202201:73,202202:85,202203:71,202209:84,202210:82
