key,total,weighted,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IV V IIIm VIm,13.2073544433095,15.926112495869107,11.765020410348933,11.732907139617096,16.324909592303744,14.765024231276332,16.211062922539416,19.527778864510267,23.28549583677662,22.395190155891548,19.25624777064175,15.124998752554543,17.354051988505677
IV V VIm IV,7.425944841675179,8.671404186486892,13.862225989085276,12.708651989410999,16.52683935517514,13.267141885602314,12.358620373788877,10.628306856894671,8.210036229433715,10.27265432087098,8.61053326574495,5.605653841115739,6.279665027413009
IIm IIIm IV V,6.230847803881511,5.6672034680734225,4.210312869119412,4.928053786975565,9.46500987382712,5.9205943111863855,7.863294506998164,7.828429665571886,9.417085067767433,5.698238445176173,6.766202901824888,6.369411130572216,5.461003717414819
VIm IV V I,6.077630234933606,7.942537444527366,17.865799480755403,15.854025181774265,15.630001552323913,13.026016359559513,8.770325360357186,10.162203314034716,9.83615206009024,8.386480201709555,6.231555679839256,6.438503311719429,7.661721268424754
I IV V I,5.944841675178754,3.7694852077178895,5.460620448011373,4.691877441683686,5.2661687895287885,7.019994367416565,7.9634018553990105,5.8152001099549855,7.729605143064202,7.311309631962368,5.695710783111727,6.345214997208194,5.614407097053531
IV V I IV,5.556690500510725,9.608613629797496,17.793393743433057,13.666173350492665,13.680738991932557,12.06221533576059,11.459918310509094,10.131606146839387,14.376644083005935,14.399781591752607,11.163374281831711,9.065540050530768,10.377758681568471
VIm V IV V,4.4637385086823285,5.843551134374318,7.732109101134125,7.380150450121424,8.437483660248075,6.651026789433985,8.604454313265707,5.3626813888380465,5.225300918764692,5.831096652431551,3.302347174611852,2.4449693298383846,0.8082506711400111
VIm IIIm IV V,4.0755873340143,5.238518651152137,2.4738497172936857,3.1414396627866026,6.599667930537782,8.412256567953447,5.048619500411286,4.359778532881009,3.5304523901239513,6.526052845276483,4.752556827014668,4.606414444925343,4.7555417395368105
IV V I VIm,4.014300306435138,5.060340604757655,9.293616868922213,9.122639974210879,10.163622269104298,6.883800814088499,5.794505144207577,6.412536085932563,6.879649848125414,5.934905293110862,3.7752489481332385,4.373722177480699,3.893636335868043
I IV I IV,4.0040858018386105,1.1916022551646994,0.7419635195718827,1.134828842468794,0.0,0.6447012764534595,0.6588425502409677,2.0631768841274627,0.6081335029095847,0.0,0.6771067662976413,0.0,0.8170145710710496
VIm IV V VIm,3.891726251276813,4.3057918789520695,4.519831426891923,5.11540971666369,6.352487969245153,3.027013137607923,2.487995287622044,5.463528702877198,4.685353867283671,5.88810271052617,2.8975580807345005,3.608269916204434,2.105154752610715
IV I V VIm,3.769152196118488,4.461261853967544,6.057596576350036,3.1710292361687307,4.136696589422245,2.8761333723658207,5.743993391063171,5.976218888072495,0.0,2.9846235889316013,1.6494999967792563,0.7576038217216171,0.0
IV IIIm VIm IIm,3.697650663942799,6.692326856776173,3.9302992341171628,8.813096931432309,7.796285335880811,8.797151945752454,5.405040479210984,2.84726805556387,2.799761896313825,3.8860949313709012,7.890545933116886,2.608968600193905,2.989627636113325
IV I IV I,3.6772216547497445,2.6298378176973563,1.8548443717188963,0.6635167743921709,0.7123126831408405,1.8414181259383007,3.1039749964890295,4.329137588087228,3.7301808095008777,4.289411230471237,2.76853309323071,1.545497759429081,0.7957882446325714
IV I/3 IIm V,3.585291113381001,5.759561248405246,3.5563859800594315,4.9580647380707195,5.8651605949680485,7.614112886444383,6.977325524263714,6.235547687372134,5.272949763022166,6.067026101340535,3.7472269443221697,3.3350831393879896,3.7120946105829837
I V VIm IV,3.585291113381001,2.681526202463231,5.2117193751621835,5.623116091956066,4.589676000272755,2.767291696530506,1.9256691612099173,1.7704014051149444,1.3685685570559785,2.6482393192849645,4.019271905883277,1.608802929619662,2.84254541893088
IV V VIm I,3.421859039836568,8.46990683527838,4.574226274449434,4.597189618533257,7.128763648937213,5.267495593318569,7.184023096343876,10.846019173490086,14.10692049900896,14.191315234822143,8.202476997176996,5.850177134479866,2.0973994277515926
IV V/4 IIIm VIm,3.2379979570990804,2.7737232287211153,0.0,2.173134486935037,2.016124669213932,0.0,0.0,0.0,2.094160917774083,3.271691053231514,3.0889199782120462,4.10293443299252,3.8021430508400003
I V VIm IIIm,3.1767109295199183,3.001728203752287,4.082128210674925,2.061905608856864,0.7940646013079019,2.353067974457099,0.8121023321566007,0.7280151734321058,2.276461944513213,3.264962146727818,2.707209102182431,2.3523346939684457,2.007134417044034
I VIm IV V,3.13585291113381,2.5499185596479848,5.185245124314807,6.169965339940941,4.9967908951646995,4.194268936977592,2.9427977660218696,2.6470172367791998,0.7915581535316634,0.5993958854881151,0.0,1.6388259826518896,0.9496332788228948
IV V IV V,3.094994892747702,2.898254983909683,6.153178301422726,4.177708827186443,5.134254780256439,3.448156380603821,2.7491689072327614,1.8012922853104032,0.8553294155036747,0.5979252460095207,1.3114750985427444,3.434479682193773,3.7609307317259275
IV V VIm V,3.0643513789581207,2.392754438612546,2.469834895207995,1.5460973628435506,1.8527391118460663,2.644906164448275,1.1588934603429695,4.447843666342105,2.737025092588433,1.5431447227878747,0.7120368772574404,0.9276840672487859,2.1622702009044152
IV V III VIm,2.9826353421859038,2.9692711021035247,2.2329130748764645,3.8237974953506786,6.532215058521624,5.761243153606909,5.783683511371367,6.212931485265701,4.891678250165794,3.5029482175608853,4.460113546431331,2.8408913105716027,2.544445955191148
